timestamp,rmssd,coverage,low_frequency,high_frequency
2023-08-11T01:40:00,58.786,0.981,1821.062,677.829
2023-08-11T01:45:00,53.558,0.984,1847.922,718.745
2023-08-11T01:50:00,57.186,0.9,615.93,766.152
2023-08-11T01:55:00,43.688,0.88,2656.436,496.671
2023-08-11T02:00:00,37.1,0.906,534.173,257.185
2023-08-11T02:05:00,56.635,0.995,606.68,666.325
2023-08-11T02:10:00,52.606,1.005,645.703,461.953
2023-08-11T02:15:00,48.303,1.003,399.975,413.769
2023-08-11T02:20:00,50.951,1.003,337.975,494.481
2023-08-11T02:25:00,54.575,0.933,1068.297,820.963
2023-08-11T02:30:00,46.755,1.004,536.822,618.162
2023-08-11T02:35:00,50.225,0.951,853.628,620.108
2023-08-11T02:40:00,41.016,0.962,1247.515,293.955
2023-08-11T02:45:00,44.086,0.972,851.748,330.529
2023-08-11T02:50:00,44.442,0.93,5021.727,299.483
2023-08-11T02:55:00,48.586,0.989,1972.355,555.815
2023-08-11T03:00:00,46.702,1.003,858.968,396.752
2023-08-11T03:05:00,43.731,0.808,5454.746,584.3
2023-08-11T03:10:00,38.558,1.005,558.84,404.43
2023-08-11T03:15:00,30.975,1.001,402.989,294.947
2023-08-11T03:20:00,39.559,0.958,4787.614,494.038
2023-08-11T03:25:00,33.11,0.984,1162.156,357.382
2023-08-11T03:30:00,21.45,0.852,1017.973,71.696
2023-08-11T03:35:00,49.944,0.994,1540.943,744.735
2023-08-11T03:40:00,45.921,0.995,495.288,438.233
2023-08-11T03:45:00,45.578,0.886,2260.214,404.497
2023-08-11T03:50:00,46.791,0.999,478.263,439.239
2023-08-11T03:55:00,38.213,1.002,310.538,283.58
2023-08-11T04:00:00,40.961,1.003,666.81,321.453
2023-08-11T04:05:00,44.969,1.006,433.586,422.866
2023-08-11T04:10:00,43.738,1.001,267.281,348.787
2023-08-11T04:15:00,42.23,0.989,511.992,340.26
2023-08-11T04:20:00,48.926,1.001,586.432,476.35
2023-08-11T04:25:00,48.282,1.006,426.19,370.413
2023-08-11T04:30:00,53.181,0.864,8342.666,4139.715
2023-08-11T04:35:00,70.252,0.878,4089.862,903.288
2023-08-11T04:40:00,47.507,0.945,1017.863,563.276
2023-08-11T04:45:00,56.178,0.95,1226.453,963.365
2023-08-11T04:50:00,53.87,0.798,718.932,590.961
2023-08-11T04:55:00,46.232,0.958,1191.553,406.893
2023-08-11T05:00:00,50.67,1.004,963.494,484.307
2023-08-11T05:05:00,48.27,0.988,731.511,391.139
2023-08-11T05:10:00,48.756,1.001,823.287,399.584
2023-08-11T05:15:00,55.521,0.85,10343.167,534.245
2023-08-11T05:20:00,45.539,0.919,2391.823,371.7
2023-08-11T05:25:00,59.627,0.952,4088.748,511.233
2023-08-11T05:30:00,52.34,1.002,1913.144,608.77
2023-08-11T05:35:00,45.147,0.998,1312.392,618.648
2023-08-11T05:45:00,49.964,0.874,2379.002,659.489
2023-08-11T05:50:00,49.129,0.918,551.3,529.488
2023-08-11T05:55:00,51.006,0.888,1881.429,544.793
2023-08-11T06:00:00,54.762,1.003,1215.037,712.901
2023-08-11T06:05:00,45.925,1.006,1020.767,505.223
2023-08-11T06:10:00,43.561,0.96,1100.204,286.377
2023-08-11T06:15:00,45.039,0.999,491.582,535.467
2023-08-11T06:20:00,41.554,1.006,754.419,247.066
2023-08-11T06:25:00,40.484,0.944,707.089,325.196
2023-08-11T06:30:00,42.529,1.004,1099.321,405.167
2023-08-11T06:35:00,42.761,0.965,1492.67,396.628
2023-08-11T06:40:00,41.763,0.895,1005.104,283.63
2023-08-11T06:45:00,68.984,0.884,2101.571,983.09
2023-08-11T06:50:00,48.121,0.879,1686.931,403.205
2023-08-11T23:15:00,43.802,0.718,3205.026,317.701
2023-08-11T23:20:00,53.645,0.925,491.084,563.051
2023-08-11T23:25:00,62.138,0.807,640.962,736.714
2023-08-11T23:30:00,35.743,0.869,492.528,222.146
2023-08-11T23:35:00,43.259,0.989,369.903,242.937
2023-08-11T23:40:00,29.373,0.994,209.169,159.706
2023-08-11T23:45:00,23.318,0.983,147.056,92.064
2023-08-11T23:50:00,28.156,1.004,190.503,153.078
2023-08-11T23:55:00,46.148,1.006,413.971,406.97
