timestamp,rmssd,coverage,low_frequency,high_frequency
2024-02-26T00:45:00,40.207,0.899,855.255,515.863
2024-02-26T00:50:00,33.412,0.993,547.754,308.733
2024-02-26T00:55:00,33.082,0.968,1439.985,310.49
2024-02-26T01:00:00,34.57,0.889,1549.977,336.803
2024-02-26T01:05:00,28.219,0.996,316.71,247.12
2024-02-26T01:10:00,36.506,0.958,1205.474,392.995
2024-02-26T01:15:00,33.543,0.992,302.049,343.589
2024-02-26T01:20:00,34.338,0.942,1426.678,304.793
2024-02-26T01:25:00,35.697,1.005,232.193,427.1
2024-02-26T01:30:00,35.588,1.003,357.141,447.572
2024-02-26T01:35:00,33.246,1.001,268.501,421.281
2024-02-26T01:40:00,34.405,1.004,312.869,490.67
2024-02-26T01:45:00,34.05,1.003,238.56,462.056
2024-02-26T01:50:00,36.137,0.954,376.881,482.68
2024-02-26T01:55:00,29.473,0.972,1028.724,314.763
2024-02-26T02:00:00,22.906,0.986,373.162,200.076
2024-02-26T02:05:00,27.035,0.989,248.973,246.216
2024-02-26T02:10:00,30.884,1.003,854.613,311.745
2024-02-26T02:20:00,44.14,1.004,390.147,663.051
2024-02-26T02:25:00,52.661,0.801,1586.916,643.681
2024-02-26T02:30:00,48.926,1.002,241.858,584.248
2024-02-26T02:35:00,40.924,1.004,250.596,505.563
2024-02-26T02:40:00,58.341,0.957,2504.814,1252.265
2024-02-26T02:45:00,65.429,0.828,1799.073,877.064
2024-02-26T02:50:00,51.954,1.003,1323.046,648.088
2024-02-26T02:55:00,64.299,0.803,2564.554,788.086
2024-02-26T03:00:00,57.291,1.003,1334.385,935.403
2024-02-26T03:05:00,22.266,1.002,251.152,111.089
2024-02-26T03:15:00,71.458,0.971,895.167,1209.865
2024-02-26T03:20:00,67.996,0.871,1970.522,1215.762
2024-02-26T03:25:00,68.549,0.957,1353.504,1239.997
2024-02-26T03:30:00,52.527,1.002,324.414,719.516
2024-02-26T03:35:00,49.197,1.004,367.514,723.225
2024-02-26T03:40:00,52.521,1.003,1195.535,596.906
2024-02-26T03:45:00,70.087,0.852,7140.126,3957.398
2024-02-26T03:50:00,69.606,0.934,336.529,1041.992
2024-02-26T03:55:00,92.583,0.937,5094.043,4585.614
2024-02-26T04:00:00,80.641,0.879,6318.436,3720.256
2024-02-26T04:05:00,94.972,0.916,1933.212,2161.448
2024-02-26T04:10:00,82.146,0.918,1255.597,1515.03
2024-02-26T04:25:00,73.439,0.77,1492.44,1248.59
2024-02-26T04:30:00,67.484,0.844,785.78,893.103
2024-02-26T04:35:00,59.332,0.835,840.201,638.326
2024-02-26T04:40:00,58.245,0.965,645.547,685.464
2024-02-26T04:45:00,52.115,0.927,1911.01,614.15
2024-02-26T04:50:00,44.222,0.881,371.306,324.553
2024-02-26T04:55:00,47.494,0.871,1076.311,304.186
